clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
17301,Kreisklinik Wolfratshausen,Wolfratshausen,Kreisklinik Wolfratshausen gGmbH,Landkreis Bad Tölz-Wolfratshausen,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,160,0,AUG|CHI|HNO|INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.kreisklinik-wolfratshausen.de,https://www.kreisklinik-wolfratshausen.de/karriere/bfd.php,bite
17302,Asklepios Stadtklinik Bad Tölz,Bad Tölz,Asklepios Stadtklinik Bad Tölz GmbH,Landkreis Bad Tölz-Wolfratshausen,Oberbayern,Plan-KH,Grundversorgung (I),privat,230,0,CHI|GYN|HNO|INN|NEU|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.asklepios.com,https://www.asklepios.com/karriere/jobs,
17305,"KIRINUS Schlemmer Klinik, Bad Tölz",Bad Tölz,KIRINUS Schlemmer Klinik GmbH,Landkreis Bad Tölz-Wolfratshausen,Oberbayern,Plan-KH,Fachkrankenhaus,privat,153,0,PSO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.klinik-schlemmer.de,https://karriere.kirinus.de/stellenangebote,
17306,"kbo-Lech-Mangfall-Tagesklinik für PSY, PSO an der Kreisklinik Wolfratshausen",Wolfratshausen,kbo-Lech-Mangfall-Kliniken gGmbH,Landkreis Bad Tölz-Wolfratshausen,Oberbayern,Bedarfsfeststellung,-,oeffentlich,0,0,,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
17307,m&i-Fachklinik Bad Heilbrunn,Bad Heilbrunn,m&i Klinikbetriebsgesellsc haft GmbH,Landkreis Bad Tölz-Wolfratshausen,Oberbayern,Plan-KH,Fachkrankenhaus,privat,127,0,CHI|INN|NEU,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.fachklinik-bad-heilbrunn.de,https://www.fachklinik-bad-heilbrunn.de/jobs,softgarden
17308,"kbo-Heckscher-Klinikum Rottmannshöhe, Tagesklinik für KJP",Wolfratshausen,kbo-Heckscher-Klinikum gGmbH,Landkreis Bad Tölz-Wolfratshausen,Oberbayern,Bedarfsfeststellung,-,oeffentlich,0,0,,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
17401,HELIOS Amper-Klinikum Dachau,Dachau,Amper Kliniken AG,Landkreis Dachau,Oberbayern,Plan-KH,Schwerpunkt (II),privat,435,6,CHI|GUG|HNO|INN|NCH|NEU|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.helios-gesundheit,,
17402,HELIOS Amper-Klinik Indersdorf,Markt Indersdorf,Amper Kliniken AG,Landkreis Dachau,Oberbayern,Plan-KH,Fachkrankenhaus,privat,35,0,INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.helios-gesundheit,,
17405,kbo-Isar-Amper-Klinikum Dachau,Dachau,kbo-Isar-Amper-Klinikum gGmbH,Landkreis Dachau,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,0,20,PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.kbo-iak.de,https://kbo-iak.de/kbo-karriere/stellenangebote-pflege,umantis
17501,Kreisklinik Ebersberg,Ebersberg,Kreisklinik Ebersberg gGmbH,Landkreis Ebersberg,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,328,6,CHI|GUG|HNO|INN|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.klinik-ebe.de,https://jobs.klinik-ebe.de/stellenangebote.html,rexx
17502,"Tagesklinik Ebersberg, Zweigstelle des kbo-Inn-Salzach-Klinikums",Ebersberg,kbo-Inn-Salzach-Klinikum gGmbH,Landkreis Ebersberg,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,0,30,PSO|PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
17601,Klinik Eichstätt,Eichstätt,"Kliniken im Naturpark Altmühltal, KU des Landkreises Eichstätt, AöR",Landkreis Eichstätt,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,152,0,AUG|CHI|GUG|HNO|INN|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.kna-online.de,,mein-check-in
17602,Klinik Kösching,Kösching,"Kliniken im Naturpark Altmühltal, KU des Landkreises Eichstätt, AöR",Landkreis Eichstätt,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,181,0,CHI|GUG|INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.kna-online.de,,mein-check-in
17605,VAMED Klinik Kipfenberg,Kipfenberg,VAMED Klinik Kipfenberg GmbH,Landkreis Eichstätt,Oberbayern,Plan-KH,Fachkrankenhaus,privat,125,0,NEU,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
17606,Tagesklinik für Psychiatrie Eichstätt,Eichstätt,Klinikum Ingolstadt GmbH,Landkreis Eichstätt,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,0,20,PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.klinikum-ingolstadt.de,https://klinikum-ingolstadt.de/karriere/stellenangebote/,pi_asp
