clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
RH2643,Kurklinik Allgäuer Bergbad,Oberstdorf,Karl Wessel Kurklinik Allgäuer Bergbad GmbH & Co. KG,Oberallgäu,Schwaben,Reha-Einrichtung,,privat,79,,Sonstige Fachabteilung,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.allgaeuer-bergbad.de,,
RH1835,Karl-Arnold Schüle KG,Oberstdorf,Karl-Arnold Schüle KG,Oberallgäu,Schwaben,Reha-Einrichtung,,privat,30,,Innere Medizin,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.schueles.com,,
RH2986,Rehaklinik Buching Psychosomatische Fachklinik,Halblech,Kur+Reha GmbH des Paritätischen Wohlfahrtsverbandes Landesverband Baden-Württemberg,Ostallgäu,Schwaben,Reha-Einrichtung,,freigemeinnuetzig,116,,Psychosomatik/Psychotherapie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",,,
RH2567,Kurklinik Schwangau,Schwangau,Josef und Luise Helmer GmbH & Co. KG,Ostallgäu,Schwaben,Reha-Einrichtung,,privat,30,,"Innere Medizin, Orthopädie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.kurklinik-schwangau.de,,
RH1330,Klinik Bad Wörishofen Fachklinik für Herzkreislauf-Erkrankungen und Orthopädie,Bad Wörishofen,Deutsche Rentenversicherung Schwaben,Unterallgäu,Schwaben,Reha-Einrichtung,,oeffentlich,170,,"Kardiologie, Orthopädie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinik-badwoerishofen.de,,
RH1900,Angerer Schmidtchen Kneipp Sanatorium Bad Clevers Klinik f. Naturheilverfahren e.K.,Bad Grönenbach,Angerer Schmidtchen Kneipp Sanatorium Bad Clevers Klinik f. Naturheilverfahren e.K.,Unterallgäu,Schwaben,Reha-Einrichtung,,privat,60,,Keine Zuordnung zu spezifischem Fachgebiet,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.badclevers.de,,
RH1501,Waldburg-Zeil Kliniken GmbH Klinik Niederbayern I,Bad Füssing,Waldburg-Zeil Kliniken GmbH & Co. Bad Füssing KG,Passau,Niederbayern,Reha-Einrichtung,,privat,220,,Orthopädie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinik-niederbayern.de,,
RH2655,MEDIAN Buchberg Klinik,Bad Tölz,MEDIAN Buchberg Klinik GmbH & Co. KG,Bad Tölz-Wolfratshausen,Oberbayern,Reha-Einrichtung,,privat,301,,"Kardiologie, Orthopädie, Neurologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.median-kliniken.de/de/median-buchberg-klinik-bad-toelz/,,
RH1742,Fachklinik Schlehreut gGmbH,Wegscheid,Fachklinik Schlehreut Rehabilitationseinrichtung für suchtkranke Frauen und deren Kinder gGmbH,Passau,Niederbayern,Reha-Einrichtung,,freigemeinnuetzig,42,,Entwöhnungsbehandlungen,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.fachklinik-schlehreut.de,,
RH1828,Sanatorium Am Birkenhang,Fischen,Hotel Sonnenbichl GmbH & Co. KG,Oberallgäu,Schwaben,Reha-Einrichtung,,privat,18,,Sonstige Fachabteilung,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.hotel-sonnenbichl.com,,
RH2766,Deutsche Rentenversicherung Ohlstadtklinik,Ohlstadt,Deutsche Rentenversicherung Nordbayern,Garmisch-Partenkirchen,Oberbayern,Reha-Einrichtung,,oeffentlich,152,,Orthopädie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.ohlstadtklinik.de,,
RH2192,Kurklinik Eggensberger OHG Physio- & amb. Therapiezentrum Hopfen am See,Füssen-Hopfen am See,EGGENSBERGER OHG,Ostallgäu,Schwaben,Reha-Einrichtung,,privat,60,,Orthopädie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.reha-hopfen.de,,
RH1728,AWO-Fachklinik Legau,Legau,Arbeiterwohlfahrt Bezirksverband Schwaben e.V.,Unterallgäu,Schwaben,Reha-Einrichtung,,freigemeinnuetzig,30,,Entwöhnungsbehandlungen,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.fachklinik-legau.de,,
RH2908,Hephata Fachklinik Weibersbrunn,Weibersbrunn,Hephata Hessisches Diakoniezentrum e.V.,Aschaffenburg,Unterfranken,Reha-Einrichtung,,freigemeinnuetzig,60,,Entwöhnungsbehandlungen,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.fachklinik-weibersbrunn.de,,
RH1503,Medical Park Loipl GmbH & Co. KG,Bischofswiesen,Medical Park Loipl GmbH & Co. KG,Berchtesgadener Land,Oberbayern,Reha-Einrichtung,,privat,151,,Neurologie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.loipl.medicalpark.de,,
RH2099,KWA Klinik Stift Rottal Klinik für neurologische und geriatrische Rehabilitation,Bad Griesbach-Zentrum,KWA Kuratorium Wohnen im Alter gAG,Passau,Niederbayern,Reha-Einrichtung,,freigemeinnuetzig,150,,"Geriatrie, Urologie, Neurologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.kwa-rehaklinik.de,,
RH2025,Johannesbad Klinik Furth im Wald GmbH & Co. KG Therapiez. f. Abhängigkeitserkr. und Psychosom.,Furth im Wald,Johannesbad Klinik Fachklinik Furth im Wald GmbH & Co. KG,Cham,Oberpfalz,Reha-Einrichtung,,privat,200,,Entwöhnungsbehandlungen,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.johannesbad-medizin.com,,
RH2374,Medical Park Chiemsee GmbH & Co. KG,Bernau a. Chiemsee,Medical Park Chiemsee GmbH & Co. KG,Rosenheim,Oberbayern,Reha-Einrichtung,,privat,245,,Orthopädie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.chiemsee.medicalpark.de,,
RH1785,Kurhotel Mürz GmbH & Co. KG,Bad Füssing,Kurhotel Mürz GmbH & Co. KG,Passau,Niederbayern,Reha-Einrichtung,,privat,45,,Sonstige Fachabteilung,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.muerz.de,,
RH2129,"Saaletalklinik, Klinik Neumühle, Adaption",Bad Neustadt a. d. Saale,Haus Saaletal GmbH,Rhön-Grabfeld,Unterfranken,Reha-Einrichtung,,privat,242,,Entwöhnungsbehandlungen,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://saaletal.campus-nes.de,,
RH2648,VAMED Rehaklinik Bad Grönenbach,Bad Grönenbach,VAMED Rehaklinik Bad Grönenbach GmbH,Unterallgäu,Schwaben,Reha-Einrichtung,,privat,277,,"Kardiologie, Orthopädie, Hals-, Nasen-, Ohrenheilkunde, Psychosomatik/Psychotherapie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.vamed-gesundheit.de,,
